ds,yhat
2014-01-31,14790.564205465584
2014-02-28,5778.539467165996
2014-03-31,41875.34394075954
2014-04-30,25662.7240264316
2014-05-31,25711.928215564592
2014-06-30,26711.737279957204
2014-07-31,26438.13390747041
2014-08-31,30856.59159904937
2014-09-30,67621.11814812917
2014-10-31,36077.3872725536
2014-11-30,78301.26791298561
2014-12-31,69991.58410018883
2015-01-31,18738.34117858019
2015-02-28,13880.715060499617
2015-03-31,49598.62624517961
2015-04-30,34576.016670027944
2015-05-31,26387.612896055944
2015-06-30,31085.925346108117
2015-07-31,33255.72041821302
2015-08-31,40664.294058474356
2015-09-30,76492.06827672027
2015-10-31,35984.17831350187
2015-11-30,86921.116986357
2015-12-31,75920.60614436638
2016-01-31,23165.283679282707
2016-02-29,14902.055134316306
2016-03-31,51723.804682695925
2016-04-30,33016.27789480213
2016-05-31,49868.217038638424
2016-06-30,44187.68679167139
2016-07-31,39287.643321273594
2016-08-31,37700.29519678585
2016-09-30,75996.70555327741
2016-10-31,62955.82738327219
2016-11-30,88181.70952747535
2016-12-31,85608.11629318143
2017-01-31,38211.236168164476
2017-02-28,25246.659744843237
2017-03-31,61845.988933462875
2017-04-30,44535.97357078336
2017-05-31,53069.81845128048
2017-06-30,50739.85279690143
2017-07-31,48243.150748262386
2017-08-31,49797.13243424837
2017-09-30,87518.63702483861
2017-10-31,65271.070688600455
2017-11-30,99056.32019069268
2017-12-31,93756.95158564155
2018-01-31,44491.08130616923
2018-02-28,35661.189752470076
2018-03-31,71959.64168209315
2018-04-30,55942.164467183364
2018-05-31,56193.01611559175
2018-06-30,57387.96788377044
