ds,yhat
2014-01-31,14790.563637294112
2014-02-28,5778.5383045776
2014-03-31,41875.34314133427
2014-04-30,25662.72454458294
2014-05-31,25711.92945566422
2014-06-30,26711.737995762152
2014-07-31,26438.133371914355
2014-08-31,30856.590178417282
2014-09-30,67621.1171978275
2014-10-31,36077.38757669492
2014-11-30,78301.26894798252
2014-12-31,69991.58474496145
2015-01-31,18738.34039346834
2015-02-28,13880.71375284105
2015-03-31,49598.625286754745
2015-04-30,34576.01697887816
2015-05-31,26387.613872863167
2015-06-30,31085.925799939105
2015-07-31,33255.71965370275
2015-08-31,40664.292447989275
2015-09-30,76492.06726744714
2015-10-31,35984.17865948579
2015-11-30,86921.11813603555
2015-12-31,75920.60690769985
2016-01-31,23165.28304647649
2016-02-29,14902.053835203384
2016-03-31,51723.803769110156
2016-04-30,33016.278395279776
2016-05-31,49868.21836205125
2016-06-30,44187.68757692148
2016-07-31,39287.642774519576
2016-08-31,37700.29365764595
2016-09-30,75996.70448634833
2016-10-31,62955.82764396518
2016-11-30,88181.71063881312
2016-12-31,85608.11702130968
2017-01-31,38211.2354129784
2017-02-28,25246.65833872001
2017-03-31,61845.98790768501
2017-04-30,44535.97391645908
2017-05-31,53069.81957168151
2017-06-30,50739.8533852576
2017-07-31,48243.15004456791
2017-08-31,49797.13079011855
2017-09-30,87518.63585300744
2017-10-31,65271.07080849436
2017-11-30,99056.32109912366
2017-12-31,93756.95210653593
2018-01-31,44491.08036974026
2018-02-28,35661.18823184961
2018-03-31,71959.64053192896
2018-04-30,55942.164641653624
2018-05-31,56193.01701533072
2018-06-30,57387.9682588506
